,frame,dominant_emotion,emotion_scores
216,217,neutral,"{'angry': np.float32(0.89152926), 'disgust': np.float32(0.00024623846), 'fear': np.float32(3.0227585), 'happy': np.float32(0.98500144), 'sad': np.float32(1.1985561), 'surprise': np.float32(0.24500695), 'neutral': np.float32(93.6569)}"
217,218,neutral,"{'angry': np.float32(0.5792292), 'disgust': np.float32(4.502314e-06), 'fear': np.float32(2.9322717), 'happy': np.float32(0.30376092), 'sad': np.float32(1.4419819), 'surprise': np.float32(0.061156984), 'neutral': np.float32(94.681595)}"
218,219,happy,"{'angry': np.float32(0.029915586), 'disgust': np.float32(8.978222e-10), 'fear': np.float32(4.761986), 'happy': np.float32(63.27736), 'sad': np.float32(0.0006169902), 'surprise': np.float32(31.854826), 'neutral': np.float32(0.0752982)}"
219,220,neutral,"{'angry': np.float32(0.22239085), 'disgust': np.float32(1.8314188e-06), 'fear': np.float32(1.0757868), 'happy': np.float32(0.39454606), 'sad': np.float32(0.88185036), 'surprise': np.float32(0.11383789), 'neutral': np.float32(97.31159)}"
220,221,neutral,"{'angry': np.float32(5.219696), 'disgust': np.float32(0.014933635), 'fear': np.float32(28.477083), 'happy': np.float32(8.201799), 'sad': np.float32(2.0964146), 'surprise': np.float32(2.5758805), 'neutral': np.float32(53.414196)}"
221,222,surprise,"{'angry': np.float32(0.03799289), 'disgust': np.float32(3.822734e-08), 'fear': np.float32(14.941129), 'happy': np.float32(35.253754), 'sad': np.float32(0.012481453), 'surprise': np.float32(48.888332), 'neutral': np.float32(0.8663093)}"
222,223,happy,"{'angry': np.float32(0.21023059), 'disgust': np.float32(1.0775622e-06), 'fear': np.float32(19.37367), 'happy': np.float32(49.42764), 'sad': np.float32(0.08677129), 'surprise': np.float32(29.510489), 'neutral': np.float32(1.3911915)}"
223,224,surprise,"{'angry': np.float32(0.026485045), 'disgust': np.float32(2.9894834e-10), 'fear': np.float32(4.563621), 'happy': np.float32(25.740665), 'sad': np.float32(0.0011553786), 'surprise': np.float32(68.396935), 'neutral': np.float32(1.2711382)}"
224,225,happy,"{'angry': np.float32(0.013343243), 'disgust': np.float32(1.882529e-11), 'fear': np.float32(4.7252703), 'happy': np.float32(61.456154), 'sad': np.float32(0.0015913587), 'surprise': np.float32(24.843), 'neutral': np.float32(8.960643)}"
225,226,neutral,"{'angry': np.float32(0.29757205), 'disgust': np.float32(9.092894e-11), 'fear': np.float32(9.949328), 'happy': np.float32(0.010341846), 'sad': np.float32(13.423036), 'surprise': np.float32(0.050701737), 'neutral': np.float32(76.26902)}"
226,227,sad,"{'angry': np.float32(0.6728822), 'disgust': np.float32(1.8031358e-08), 'fear': np.float32(0.975506), 'happy': np.float32(0.0155821955), 'sad': np.float32(86.28184), 'surprise': np.float32(0.00086376874), 'neutral': np.float32(12.053331)}"
227,228,fear,"{'angry': np.float32(0.7562199), 'disgust': np.float32(1.7573215e-09), 'fear': np.float32(48.13118), 'happy': np.float32(0.008913198), 'sad': np.float32(46.59206), 'surprise': np.float32(0.038007163), 'neutral': np.float32(4.473622)}"
228,229,happy,"{'angry': np.float32(0.033418972), 'disgust': np.float32(2.2251834e-06), 'fear': np.float32(13.140399), 'happy': np.float32(69.64757), 'sad': np.float32(0.14822008), 'surprise': np.float32(15.620401), 'neutral': np.float32(1.4099946)}"
229,230,happy,"{'angry': np.float32(0.012245355), 'disgust': np.float32(1.2134959e-06), 'fear': np.float32(19.811237), 'happy': np.float32(77.03365), 'sad': np.float32(0.9930667), 'surprise': np.float32(1.2415935), 'neutral': np.float32(0.90820295)}"
230,231,happy,"{'angry': np.float32(0.01478577), 'disgust': np.float32(6.8021753e-09), 'fear': np.float32(9.396559), 'happy': np.float32(66.45334), 'sad': np.float32(0.02437057), 'surprise': np.float32(20.32524), 'neutral': np.float32(3.7856946)}"
231,232,neutral,"{'angry': np.float32(0.010943733), 'disgust': np.float32(5.513604e-10), 'fear': np.float32(0.057183973), 'happy': np.float32(0.0068280646), 'sad': np.float32(0.14769499), 'surprise': np.float32(0.0007664137), 'neutral': np.float32(99.77657)}"
232,233,neutral,"{'angry': np.float32(0.052812595), 'disgust': np.float32(1.2393936e-07), 'fear': np.float32(0.15586331), 'happy': np.float32(0.0886188), 'sad': np.float32(0.7718447), 'surprise': np.float32(0.004399433), 'neutral': np.float32(98.92646)}"
233,234,fear,"{'angry': np.float32(5.9114784e-05), 'disgust': np.float32(6.0707217e-09), 'fear': np.float32(46.44604), 'happy': np.float32(0.0012358465), 'sad': np.float32(27.384594), 'surprise': np.float32(5.822539e-05), 'neutral': np.float32(26.168013)}"
234,235,neutral,"{'angry': np.float32(0.1607479), 'disgust': np.float32(4.421084e-07), 'fear': np.float32(0.25581178), 'happy': np.float32(0.043140743), 'sad': np.float32(2.1965249), 'surprise': np.float32(0.00302651), 'neutral': np.float32(97.34075)}"
235,236,neutral,"{'angry': np.float32(0.119992256), 'disgust': np.float32(7.194496e-07), 'fear': np.float32(0.31549382), 'happy': np.float32(0.26043454), 'sad': np.float32(0.8828326), 'surprise': np.float32(0.022018414), 'neutral': np.float32(98.39923)}"
236,237,neutral,"{'angry': np.float32(0.20820749), 'disgust': np.float32(1.0950757e-06), 'fear': np.float32(0.44352722), 'happy': np.float32(0.4625214), 'sad': np.float32(0.3241171), 'surprise': np.float32(0.09305539), 'neutral': np.float32(98.46856)}"
237,238,happy,"{'angry': np.float32(0.07585483), 'disgust': np.float32(2.9110916e-10), 'fear': np.float32(2.2706075), 'happy': np.float32(73.04077), 'sad': np.float32(0.0017906477), 'surprise': np.float32(22.791979), 'neutral': np.float32(1.8189975)}"
238,239,happy,"{'angry': np.float32(17.862806), 'disgust': np.float32(2.0521432e-10), 'fear': np.float32(4.342816), 'happy': np.float32(68.5106), 'sad': np.float32(0.00014851657), 'surprise': np.float32(9.232112), 'neutral': np.float32(0.05152073)}"
239,240,neutral,"{'angry': np.float32(0.15106462), 'disgust': np.float32(4.9769917e-09), 'fear': np.float32(0.07695736), 'happy': np.float32(0.007864162), 'sad': np.float32(0.60776573), 'surprise': np.float32(0.0010039676), 'neutral': np.float32(99.15534)}"
240,241,neutral,"{'angry': np.float32(0.44792688), 'disgust': np.float32(1.5814678e-08), 'fear': np.float32(0.1715341), 'happy': np.float32(0.00965143), 'sad': np.float32(3.3593147), 'surprise': np.float32(0.00088315026), 'neutral': np.float32(96.01068)}"
241,242,sad,"{'angry': np.float32(8.386705), 'disgust': np.float32(2.903684e-05), 'fear': np.float32(5.3421826), 'happy': np.float32(0.049113397), 'sad': np.float32(44.97683), 'surprise': np.float32(0.024865154), 'neutral': np.float32(41.220276)}"
242,243,sad,"{'angry': np.float32(8.681893), 'disgust': np.float32(0.00024380439), 'fear': np.float32(12.010727), 'happy': np.float32(0.05969135), 'sad': np.float32(58.851032), 'surprise': np.float32(0.010171028), 'neutral': np.float32(20.386236)}"
243,244,neutral,"{'angry': np.float32(4.110265), 'disgust': np.float32(8.050122e-06), 'fear': np.float32(3.011976), 'happy': np.float32(0.07397311), 'sad': np.float32(14.091693), 'surprise': np.float32(0.007116799), 'neutral': np.float32(78.70497)}"
244,245,sad,"{'angry': np.float32(6.4368477), 'disgust': np.float32(0.00012413494), 'fear': np.float32(4.556812), 'happy': np.float32(0.042593528), 'sad': np.float32(51.99563), 'surprise': np.float32(0.0041188253), 'neutral': np.float32(36.96388)}"
245,246,sad,"{'angry': np.float32(4.4655313), 'disgust': np.float32(5.17942e-05), 'fear': np.float32(19.53505), 'happy': np.float32(0.040086474), 'sad': np.float32(61.15376), 'surprise': np.float32(0.018536052), 'neutral': np.float32(14.786983)}"
246,247,neutral,"{'angry': np.float32(9.771716), 'disgust': np.float32(4.073022e-05), 'fear': np.float32(15.17981), 'happy': np.float32(0.04747163), 'sad': np.float32(32.585884), 'surprise': np.float32(0.025612054), 'neutral': np.float32(42.389465)}"
247,248,sad,"{'angry': np.float32(10.136081), 'disgust': np.float32(8.045398e-05), 'fear': np.float32(22.065218), 'happy': np.float32(0.10588037), 'sad': np.float32(51.369556), 'surprise': np.float32(0.019851767), 'neutral': np.float32(16.303324)}"
248,249,happy,"{'angry': np.float32(1.4142737), 'disgust': np.float32(1.7510483e-06), 'fear': np.float32(17.301558), 'happy': np.float32(47.550686), 'sad': np.float32(0.0014089238), 'surprise': np.float32(33.72346), 'neutral': np.float32(0.008613496)}"
249,250,neutral,"{'angry': np.float32(3.3768463), 'disgust': np.float32(1.8002438e-05), 'fear': np.float32(4.6614194), 'happy': np.float32(0.42541096), 'sad': np.float32(35.893017), 'surprise': np.float32(0.056280155), 'neutral': np.float32(55.587013)}"
250,251,sad,"{'angry': np.float32(3.3003054), 'disgust': np.float32(2.6998941e-06), 'fear': np.float32(7.799579), 'happy': np.float32(0.13167305), 'sad': np.float32(49.74016), 'surprise': np.float32(0.44224623), 'neutral': np.float32(38.586037)}"
251,252,sad,"{'angry': np.float32(0.0002882575), 'disgust': np.float32(1.787052e-11), 'fear': np.float32(22.363266), 'happy': np.float32(0.00050130574), 'sad': np.float32(42.3031), 'surprise': np.float32(5.2318295e-08), 'neutral': np.float32(35.33284)}"
252,253,sad,"{'angry': np.float32(0.0018867619), 'disgust': np.float32(2.6644434e-10), 'fear': np.float32(1.0550071), 'happy': np.float32(0.0005756318), 'sad': np.float32(96.72569), 'surprise': np.float32(0.00061238994), 'neutral': np.float32(2.2162268)}"
253,254,happy,"{'angry': np.float32(0.25290585), 'disgust': np.float32(4.7379195e-10), 'fear': np.float32(0.0024766752), 'happy': np.float32(99.7281), 'sad': np.float32(0.00011624909), 'surprise': np.float32(0.00017590726), 'neutral': np.float32(0.016212543)}"
254,255,happy,"{'angry': np.float32(2.6933734), 'disgust': np.float32(1.0002784e-07), 'fear': np.float32(0.003922106), 'happy': np.float32(97.2903), 'sad': np.float32(0.00095268927), 'surprise': np.float32(0.0035113061), 'neutral': np.float32(0.007939134)}"
255,256,happy,"{'angry': np.float32(0.20680031), 'disgust': np.float32(1.9258212e-06), 'fear': np.float32(0.018718826), 'happy': np.float32(99.72487), 'sad': np.float32(0.011286306), 'surprise': np.float32(7.521994e-05), 'neutral': np.float32(0.03823999)}"
256,257,happy,"{'angry': np.float32(0.19975424), 'disgust': np.float32(3.3750835e-10), 'fear': np.float32(0.0014733301), 'happy': np.float32(99.79814), 'sad': np.float32(0.00025510584), 'surprise': np.float32(2.8203108e-06), 'neutral': np.float32(0.00037441702)}"
257,258,happy,"{'angry': np.float32(0.023860218), 'disgust': np.float32(6.062015e-08), 'fear': np.float32(0.009557727), 'happy': np.float32(99.96487), 'sad': np.float32(0.000961145), 'surprise': np.float32(0.00014321462), 'neutral': np.float32(0.0006058502)}"
258,259,happy,"{'angry': np.float32(0.09309177), 'disgust': np.float32(6.9903135e-06), 'fear': np.float32(0.025186233), 'happy': np.float32(99.847046), 'sad': np.float32(0.01634403), 'surprise': np.float32(0.00020044342), 'neutral': np.float32(0.018124385)}"
259,260,happy,"{'angry': np.float32(0.17446993), 'disgust': np.float32(1.631753e-05), 'fear': np.float32(0.03198596), 'happy': np.float32(99.73046), 'sad': np.float32(0.029986022), 'surprise': np.float32(0.00020339714), 'neutral': np.float32(0.032866)}"
260,261,happy,"{'angry': np.float32(0.11536471), 'disgust': np.float32(2.9977755e-05), 'fear': np.float32(0.041182067), 'happy': np.float32(99.78169), 'sad': np.float32(0.032604154), 'surprise': np.float32(0.00044845155), 'neutral': np.float32(0.028681967)}"
261,262,happy,"{'angry': np.float32(0.043381065), 'disgust': np.float32(1.7792705e-07), 'fear': np.float32(0.004691251), 'happy': np.float32(99.94679), 'sad': np.float32(0.0027137573), 'surprise': np.float32(0.00019899683), 'neutral': np.float32(0.0022280968)}"
262,263,happy,"{'angry': np.float32(0.054209746), 'disgust': np.float32(1.1349289e-07), 'fear': np.float32(0.004752934), 'happy': np.float32(99.93852), 'sad': np.float32(0.0017089929), 'surprise': np.float32(6.6177075e-05), 'neutral': np.float32(0.0007473219)}"
263,264,neutral,"{'angry': np.float32(1.8111769), 'disgust': np.float32(1.3248339e-09), 'fear': np.float32(2.2539113), 'happy': np.float32(0.013040875), 'sad': np.float32(21.308199), 'surprise': np.float32(0.01064227), 'neutral': np.float32(74.603035)}"
264,265,neutral,"{'angry': np.float32(0.05551519), 'disgust': np.float32(3.3441102e-13), 'fear': np.float32(0.17275435), 'happy': np.float32(0.0013843655), 'sad': np.float32(2.835724), 'surprise': np.float32(0.0019158524), 'neutral': np.float32(96.93271)}"
265,266,sad,"{'angry': np.float32(16.209578), 'disgust': np.float32(3.0856878e-08), 'fear': np.float32(3.1980608), 'happy': np.float32(0.019280247), 'sad': np.float32(74.20832), 'surprise': np.float32(0.03931835), 'neutral': np.float32(6.3254385)}"
266,267,neutral,"{'angry': np.float32(22.862629), 'disgust': np.float32(3.5372796e-06), 'fear': np.float32(10.0654955), 'happy': np.float32(0.06505438), 'sad': np.float32(26.855263), 'surprise': np.float32(0.1408136), 'neutral': np.float32(40.01074)}"
267,268,neutral,"{'angry': np.float32(0.9670536), 'disgust': np.float32(7.05179e-08), 'fear': np.float32(0.48307025), 'happy': np.float32(0.06365141), 'sad': np.float32(17.669592), 'surprise': np.float32(0.0061035994), 'neutral': np.float32(80.81053)}"
268,269,neutral,"{'angry': np.float32(0.18720232), 'disgust': np.float32(3.4834517e-08), 'fear': np.float32(0.0278082), 'happy': np.float32(0.030028922), 'sad': np.float32(1.790612), 'surprise': np.float32(0.00013392277), 'neutral': np.float32(97.96422)}"
269,270,neutral,"{'angry': np.float32(0.35891184), 'disgust': np.float32(8.9075286e-07), 'fear': np.float32(0.09790666), 'happy': np.float32(0.12536076), 'sad': np.float32(1.7775805), 'surprise': np.float32(0.00029472672), 'neutral': np.float32(97.639946)}"
270,271,neutral,"{'angry': np.float32(0.49056587), 'disgust': np.float32(5.4767963e-05), 'fear': np.float32(1.1065292), 'happy': np.float32(2.9341702), 'sad': np.float32(0.74582744), 'surprise': np.float32(0.0873071), 'neutral': np.float32(94.635544)}"
271,272,happy,"{'angry': np.float32(17.705582), 'disgust': np.float32(1.9391926e-09), 'fear': np.float32(0.015683912), 'happy': np.float32(82.27847), 'sad': np.float32(8.213695e-05), 'surprise': np.float32(7.54841e-05), 'neutral': np.float32(0.000109007175)}"
272,273,neutral,"{'angry': np.float32(0.27577844), 'disgust': np.float32(8.0240363e-07), 'fear': np.float32(0.2412311), 'happy': np.float32(0.062356107), 'sad': np.float32(0.65366334), 'surprise': np.float32(0.0036985183), 'neutral': np.float32(98.76327)}"
273,274,neutral,"{'angry': np.float32(0.16835803), 'disgust': np.float32(7.7083325e-07), 'fear': np.float32(0.3271675), 'happy': np.float32(0.7231911), 'sad': np.float32(0.23637156), 'surprise': np.float32(0.028621696), 'neutral': np.float32(98.51629)}"
274,275,happy,"{'angry': np.float32(8.633506), 'disgust': np.float32(8.785038e-08), 'fear': np.float32(0.07271117), 'happy': np.float32(91.28975), 'sad': np.float32(0.0011440577), 'surprise': np.float32(0.00097427925), 'neutral': np.float32(0.0019151984)}"
275,276,happy,"{'angry': np.float32(0.31097665), 'disgust': np.float32(2.8161764e-08), 'fear': np.float32(0.020501334), 'happy': np.float32(99.657646), 'sad': np.float32(0.0016050569), 'surprise': np.float32(8.676664e-05), 'neutral': np.float32(0.0091778375)}"
276,277,happy,"{'angry': np.float32(0.081799045), 'disgust': np.float32(1.2297826e-07), 'fear': np.float32(0.067009814), 'happy': np.float32(99.829575), 'sad': np.float32(0.002116049), 'surprise': np.float32(0.00017644548), 'neutral': np.float32(0.019326882)}"
277,278,happy,"{'angry': np.float32(0.2011843), 'disgust': np.float32(1.3933852e-06), 'fear': np.float32(0.13291994), 'happy': np.float32(99.57887), 'sad': np.float32(0.009983198), 'surprise': np.float32(0.00025639453), 'neutral': np.float32(0.076776505)}"
278,279,happy,"{'angry': np.float32(0.30429775), 'disgust': np.float32(2.085675e-06), 'fear': np.float32(0.1434837), 'happy': np.float32(99.47293), 'sad': np.float32(0.009801735), 'surprise': np.float32(0.00057169667), 'neutral': np.float32(0.068911746)}"
279,280,happy,"{'angry': np.float32(0.33798236), 'disgust': np.float32(1.0676833e-06), 'fear': np.float32(0.032578524), 'happy': np.float32(99.58571), 'sad': np.float32(0.005501942), 'surprise': np.float32(0.00010270426), 'neutral': np.float32(0.038131945)}"
280,281,fear,"{'angry': np.float32(2.3151727), 'disgust': np.float32(0.0024404775), 'fear': np.float32(48.036777), 'happy': np.float32(0.5660645), 'sad': np.float32(7.1120806), 'surprise': np.float32(0.105042696), 'neutral': np.float32(41.862427)}"
281,282,neutral,"{'angry': np.float32(0.017614434), 'disgust': np.float32(1.0141243e-08), 'fear': np.float32(0.048285995), 'happy': np.float32(0.03884457), 'sad': np.float32(0.47738603), 'surprise': np.float32(0.0007508187), 'neutral': np.float32(99.41712)}"
282,283,neutral,"{'angry': np.float32(0.2685818), 'disgust': np.float32(1.6076744e-07), 'fear': np.float32(0.3844123), 'happy': np.float32(0.061418746), 'sad': np.float32(0.9891424), 'surprise': np.float32(0.0028316278), 'neutral': np.float32(98.29362)}"
283,284,happy,"{'angry': np.float32(0.005102015), 'disgust': np.float32(1.2633052e-06), 'fear': np.float32(0.004755556), 'happy': np.float32(99.92425), 'sad': np.float32(0.00094152323), 'surprise': np.float32(0.0037652708), 'neutral': np.float32(0.06117344)}"
284,285,happy,"{'angry': np.float32(0.01067442), 'disgust': np.float32(5.504959e-07), 'fear': np.float32(0.03919826), 'happy': np.float32(99.7999), 'sad': np.float32(0.0007384692), 'surprise': np.float32(0.05266279), 'neutral': np.float32(0.09684169)}"
285,286,sad,"{'angry': np.float32(1.8810309), 'disgust': np.float32(3.499733e-08), 'fear': np.float32(22.90897), 'happy': np.float32(0.002783009), 'sad': np.float32(73.73808), 'surprise': np.float32(0.03609591), 'neutral': np.float32(1.4330381)}"
286,287,sad,"{'angry': np.float32(0.26042065), 'disgust': np.float32(1.7757516e-11), 'fear': np.float32(7.9472494), 'happy': np.float32(0.0015917874), 'sad': np.float32(76.02349), 'surprise': np.float32(0.0029145153), 'neutral': np.float32(15.764336)}"
287,288,sad,"{'angry': np.float32(1.7151843), 'disgust': np.float32(2.9169492e-08), 'fear': np.float32(8.828908), 'happy': np.float32(0.00083447393), 'sad': np.float32(89.33697), 'surprise': np.float32(0.0067746732), 'neutral': np.float32(0.111333475)}"
288,289,neutral,"{'angry': np.float32(0.0117040295), 'disgust': np.float32(5.5773474e-13), 'fear': np.float32(0.03605511), 'happy': np.float32(0.0013532515), 'sad': np.float32(4.2292128), 'surprise': np.float32(9.770413e-05), 'neutral': np.float32(95.72158)}"
289,290,happy,"{'angry': np.float32(7.5412304e-06), 'disgust': np.float32(2.4075728e-11), 'fear': np.float32(0.0022510802), 'happy': np.float32(99.986435), 'sad': np.float32(3.2645505e-06), 'surprise': np.float32(0.009274612), 'neutral': np.float32(0.0020283742)}"
290,291,neutral,"{'angry': np.float32(0.27334857), 'disgust': np.float32(1.9280322e-09), 'fear': np.float32(0.10986896), 'happy': np.float32(0.0059580845), 'sad': np.float32(1.7822278), 'surprise': np.float32(0.0013724376), 'neutral': np.float32(97.827225)}"
291,292,neutral,"{'angry': np.float32(0.05241407), 'disgust': np.float32(1.04666086e-07), 'fear': np.float32(0.10880123), 'happy': np.float32(0.5732852), 'sad': np.float32(0.31980217), 'surprise': np.float32(0.0050054365), 'neutral': np.float32(98.9407)}"
292,293,neutral,"{'angry': np.float32(0.019246066), 'disgust': np.float32(6.799749e-08), 'fear': np.float32(0.13427101), 'happy': np.float32(0.47052917), 'sad': np.float32(0.22419), 'surprise': np.float32(0.0009625245), 'neutral': np.float32(99.1508)}"
293,294,happy,"{'angry': np.float32(7.244616e-05), 'disgust': np.float32(5.02262e-13), 'fear': np.float32(0.00030455738), 'happy': np.float32(99.9942), 'sad': np.float32(2.57841e-06), 'surprise': np.float32(0.00034072652), 'neutral': np.float32(0.0050884513)}"
294,295,happy,"{'angry': np.float32(0.00013869088), 'disgust': np.float32(3.9097095e-13), 'fear': np.float32(0.0015914086), 'happy': np.float32(99.99414), 'sad': np.float32(9.667467e-07), 'surprise': np.float32(0.0022451712), 'neutral': np.float32(0.0018738077)}"
295,296,happy,"{'angry': np.float32(0.00021273603), 'disgust': np.float32(2.4407616e-12), 'fear': np.float32(0.007507377), 'happy': np.float32(99.94684), 'sad': np.float32(2.5489912e-06), 'surprise': np.float32(0.04259955), 'neutral': np.float32(0.0028404412)}"
296,297,neutral,"{'angry': np.float32(0.4783577), 'disgust': np.float32(1.9894736e-05), 'fear': np.float32(2.2262294), 'happy': np.float32(1.1077372), 'sad': np.float32(6.736756), 'surprise': np.float32(0.06154004), 'neutral': np.float32(89.38936)}"
297,298,fear,"{'angry': np.float32(2.8069587), 'disgust': np.float32(0.007964809), 'fear': np.float32(74.04187), 'happy': np.float32(11.70934), 'sad': np.float32(1.544954), 'surprise': np.float32(0.49197552), 'neutral': np.float32(9.396935)}"
298,299,neutral,"{'angry': np.float32(0.049965695), 'disgust': np.float32(1.830603e-07), 'fear': np.float32(0.08072367), 'happy': np.float32(0.15990134), 'sad': np.float32(0.84225804), 'surprise': np.float32(0.00038649433), 'neutral': np.float32(98.86677)}"
299,300,neutral,"{'angry': np.float32(0.012922665), 'disgust': np.float32(3.1901322e-08), 'fear': np.float32(0.034960516), 'happy': np.float32(0.31224635), 'sad': np.float32(0.14287525), 'surprise': np.float32(0.00129593), 'neutral': np.float32(99.4957)}"
300,301,fear,"{'angry': np.float32(3.1374483), 'disgust': np.float32(0.003101815), 'fear': np.float32(42.247936), 'happy': np.float32(8.429049), 'sad': np.float32(3.8176641), 'surprise': np.float32(0.47565204), 'neutral': np.float32(41.889145)}"
301,302,neutral,"{'angry': np.float32(0.14290367), 'disgust': np.float32(7.452352e-07), 'fear': np.float32(0.54216707), 'happy': np.float32(0.42420658), 'sad': np.float32(0.43555456), 'surprise': np.float32(0.028174816), 'neutral': np.float32(98.426994)}"
302,303,neutral,"{'angry': np.float32(1.7451901), 'disgust': np.float32(5.2809042e-05), 'fear': np.float32(8.411603), 'happy': np.float32(1.4234524), 'sad': np.float32(2.0909352), 'surprise': np.float32(0.12960422), 'neutral': np.float32(86.19916)}"
303,304,neutral,"{'angry': np.float32(0.8068611), 'disgust': np.float32(3.5392393e-05), 'fear': np.float32(1.2633364), 'happy': np.float32(0.48525402), 'sad': np.float32(0.8109705), 'surprise': np.float32(0.1469788), 'neutral': np.float32(96.48657)}"
304,305,neutral,"{'angry': np.float32(2.1662018), 'disgust': np.float32(4.7812795e-05), 'fear': np.float32(5.6687007), 'happy': np.float32(0.3270871), 'sad': np.float32(11.947496), 'surprise': np.float32(0.05348061), 'neutral': np.float32(79.83699)}"
305,306,neutral,"{'angry': np.float32(0.3444627), 'disgust': np.float32(3.822263e-07), 'fear': np.float32(0.42826718), 'happy': np.float32(0.04481057), 'sad': np.float32(3.0431938), 'surprise': np.float32(0.0011742983), 'neutral': np.float32(96.13809)}"
306,307,neutral,"{'angry': np.float32(0.7518416), 'disgust': np.float32(1.1846053e-06), 'fear': np.float32(0.5509984), 'happy': np.float32(0.07323818), 'sad': np.float32(5.345175), 'surprise': np.float32(0.0033013632), 'neutral': np.float32(93.275444)}"
307,308,neutral,"{'angry': np.float32(9.474778), 'disgust': np.float32(0.00029755247), 'fear': np.float32(9.330987), 'happy': np.float32(0.01742544), 'sad': np.float32(38.302155), 'surprise': np.float32(0.016275495), 'neutral': np.float32(42.858086)}"
308,309,neutral,"{'angry': np.float32(0.5071813), 'disgust': np.float32(2.7290689e-08), 'fear': np.float32(0.20655215), 'happy': np.float32(0.031881247), 'sad': np.float32(13.076709), 'surprise': np.float32(0.0008874929), 'neutral': np.float32(86.17679)}"
309,310,neutral,"{'angry': np.float32(9.614742), 'disgust': np.float32(6.637007e-05), 'fear': np.float32(5.0965605), 'happy': np.float32(0.008648047), 'sad': np.float32(36.810886), 'surprise': np.float32(0.008444999), 'neutral': np.float32(48.460655)}"
310,311,neutral,"{'angry': np.float32(1.8766912), 'disgust': np.float32(3.6891933e-07), 'fear': np.float32(0.2861689), 'happy': np.float32(0.015651638), 'sad': np.float32(13.800179), 'surprise': np.float32(0.00025168998), 'neutral': np.float32(84.02106)}"
311,312,neutral,"{'angry': np.float32(2.1486852), 'disgust': np.float32(9.42648e-06), 'fear': np.float32(1.7008449), 'happy': np.float32(0.1534033), 'sad': np.float32(27.145597), 'surprise': np.float32(0.003958948), 'neutral': np.float32(68.8475)}"
312,313,neutral,"{'angry': np.float32(2.0284762), 'disgust': np.float32(6.456089e-06), 'fear': np.float32(1.6886302), 'happy': np.float32(0.13723968), 'sad': np.float32(30.708145), 'surprise': np.float32(0.0035020318), 'neutral': np.float32(65.434006)}"
313,314,neutral,"{'angry': np.float32(3.018455), 'disgust': np.float32(1.2428325e-06), 'fear': np.float32(0.99293536), 'happy': np.float32(0.046099782), 'sad': np.float32(11.151363), 'surprise': np.float32(0.020506075), 'neutral': np.float32(84.770645)}"
314,315,neutral,"{'angry': np.float32(0.12204616), 'disgust': np.float32(3.8486744e-10), 'fear': np.float32(0.08406348), 'happy': np.float32(0.005442411), 'sad': np.float32(0.6186446), 'surprise': np.float32(0.003022697), 'neutral': np.float32(99.16678)}"
315,316,sad,"{'angry': np.float32(7.0618415), 'disgust': np.float32(8.929951e-07), 'fear': np.float32(2.5880806), 'happy': np.float32(0.039144788), 'sad': np.float32(52.738857), 'surprise': np.float32(0.022869945), 'neutral': np.float32(37.549206)}"
316,317,neutral,"{'angry': np.float32(2.2057745), 'disgust': np.float32(2.0450848e-07), 'fear': np.float32(1.6173165), 'happy': np.float32(0.062211767), 'sad': np.float32(5.152257), 'surprise': np.float32(0.1722959), 'neutral': np.float32(90.790146)}"
317,318,neutral,"{'angry': np.float32(0.017898953), 'disgust': np.float32(1.4830803e-09), 'fear': np.float32(0.008918944), 'happy': np.float32(0.046828374), 'sad': np.float32(0.17825691), 'surprise': np.float32(0.0020255756), 'neutral': np.float32(99.74608)}"
318,319,neutral,"{'angry': np.float32(0.0022627998), 'disgust': np.float32(1.577823e-11), 'fear': np.float32(0.009963051), 'happy': np.float32(0.008306108), 'sad': np.float32(0.0216775), 'surprise': np.float32(0.003016803), 'neutral': np.float32(99.95478)}"
319,320,happy,"{'angry': np.float32(0.08393803), 'disgust': np.float32(4.3423493e-05), 'fear': np.float32(0.017536359), 'happy': np.float32(99.0297), 'sad': np.float32(0.1417016), 'surprise': np.float32(0.24042904), 'neutral': np.float32(0.48664907)}"
320,321,neutral,"{'angry': np.float32(0.41795108), 'disgust': np.float32(3.9099727e-05), 'fear': np.float32(1.6107851), 'happy': np.float32(3.6984146), 'sad': np.float32(0.1772992), 'surprise': np.float32(0.29198202), 'neutral': np.float32(93.80353)}"
321,322,neutral,"{'angry': np.float32(0.19855748), 'disgust': np.float32(7.926038e-06), 'fear': np.float32(0.81317693), 'happy': np.float32(1.4706649), 'sad': np.float32(0.20170785), 'surprise': np.float32(0.08026407), 'neutral': np.float32(97.23562)}"
322,323,neutral,"{'angry': np.float32(0.23206168), 'disgust': np.float32(1.6278018e-06), 'fear': np.float32(2.719614), 'happy': np.float32(0.28491795), 'sad': np.float32(0.39498162), 'surprise': np.float32(0.4881398), 'neutral': np.float32(95.88029)}"
323,324,happy,"{'angry': np.float32(0.0164889), 'disgust': np.float32(3.0204172e-05), 'fear': np.float32(0.021004355), 'happy': np.float32(99.6439), 'sad': np.float32(0.03893704), 'surprise': np.float32(0.050788146), 'neutral': np.float32(0.22885352)}"
