,frame,dominant_emotion,emotion_scores
38,39,happy,"{'angry': np.float32(1.9304286), 'disgust': np.float32(2.142927e-06), 'fear': np.float32(0.6186801), 'happy': np.float32(97.38697), 'sad': np.float32(0.0019127626), 'surprise': np.float32(0.04293592), 'neutral': np.float32(0.01906726)}"
39,40,happy,"{'angry': np.float32(16.684483), 'disgust': np.float32(9.160754e-06), 'fear': np.float32(0.13130581), 'happy': np.float32(83.162575), 'sad': np.float32(0.0052879644), 'surprise': np.float32(0.004351184), 'neutral': np.float32(0.01199533)}"
40,41,neutral,"{'angry': np.float32(0.2986899), 'disgust': np.float32(1.446864e-05), 'fear': np.float32(3.441745), 'happy': np.float32(0.4652102), 'sad': np.float32(8.737578), 'surprise': np.float32(0.21617442), 'neutral': np.float32(86.84059)}"
41,42,neutral,"{'angry': np.float32(0.3185547), 'disgust': np.float32(3.095863e-06), 'fear': np.float32(3.8512216), 'happy': np.float32(2.0814965), 'sad': np.float32(3.5557506), 'surprise': np.float32(0.8779023), 'neutral': np.float32(89.31507)}"
42,43,neutral,"{'angry': np.float32(0.051987074), 'disgust': np.float32(5.2581055e-07), 'fear': np.float32(1.0559908), 'happy': np.float32(1.2773231), 'sad': np.float32(0.6244673), 'surprise': np.float32(0.07389214), 'neutral': np.float32(96.91634)}"
43,44,neutral,"{'angry': np.float32(0.032875087), 'disgust': np.float32(6.290433e-08), 'fear': np.float32(0.3542042), 'happy': np.float32(0.52735), 'sad': np.float32(0.3697689), 'surprise': np.float32(0.07370994), 'neutral': np.float32(98.6421)}"
44,45,neutral,"{'angry': np.float32(0.20710504), 'disgust': np.float32(1.4515072e-06), 'fear': np.float32(1.2310468), 'happy': np.float32(0.4031061), 'sad': np.float32(0.8324715), 'surprise': np.float32(0.05920503), 'neutral': np.float32(97.26706)}"
45,46,neutral,"{'angry': np.float32(0.24807364), 'disgust': np.float32(2.4866704e-06), 'fear': np.float32(1.763747), 'happy': np.float32(0.7246708), 'sad': np.float32(2.090472), 'surprise': np.float32(0.113228135), 'neutral': np.float32(95.05981)}"
46,47,neutral,"{'angry': np.float32(0.17395917), 'disgust': np.float32(9.445822e-07), 'fear': np.float32(1.4359723), 'happy': np.float32(0.6395658), 'sad': np.float32(1.5289667), 'surprise': np.float32(0.044752825), 'neutral': np.float32(96.17678)}"
47,48,neutral,"{'angry': np.float32(0.04177418), 'disgust': np.float32(5.2664664e-08), 'fear': np.float32(0.15728265), 'happy': np.float32(0.102447286), 'sad': np.float32(0.4997858), 'surprise': np.float32(0.00082807743), 'neutral': np.float32(99.19788)}"
